"alpha","gamma","initRabbits","initFoxes","meansteps","hash"
"0.01","0.03","20","100","188.5","0.01-0.03-20-100"
"0.01","0.03","20","20","358.9","0.01-0.03-20-20"
"0.01","0.03","20","30","337.1","0.01-0.03-20-30"
"0.01","0.03","20","40","253.8","0.01-0.03-20-40"
"0.01","0.03","20","50","416.8","0.01-0.03-20-50"
"0.01","0.03","20","60","393.4","0.01-0.03-20-60"
"0.01","0.03","20","70","188.2","0.01-0.03-20-70"
"0.01","0.03","20","80","162.2","0.01-0.03-20-80"
"0.01","0.03","20","90","245.7","0.01-0.03-20-90"
"0.01","0.03","30","10","408.8","0.01-0.03-30-10"
"0.01","0.03","30","100","269.4","0.01-0.03-30-100"
"0.01","0.03","30","20","769.5","0.01-0.03-30-20"
"0.01","0.03","30","30","346.1","0.01-0.03-30-30"
"0.01","0.03","30","40","350.1","0.01-0.03-30-40"
"0.01","0.03","30","50","265.6","0.01-0.03-30-50"
"0.01","0.03","30","60","309.8","0.01-0.03-30-60"
"0.01","0.03","30","70","199.4","0.01-0.03-30-70"
"0.01","0.03","30","80","194.2","0.01-0.03-30-80"
"0.01","0.03","30","90","178.6","0.01-0.03-30-90"
"0.01","0.03","40","10","793.5","0.01-0.03-40-10"
"0.01","0.03","40","100","157.3","0.01-0.03-40-100"
"0.01","0.03","40","20","575.1","0.01-0.03-40-20"
"0.01","0.03","40","30","592.8","0.01-0.03-40-30"
"0.01","0.03","40","40","405.0","0.01-0.03-40-40"
"0.01","0.03","40","50","297.9","0.01-0.03-40-50"
"0.01","0.03","40","60","441.1","0.01-0.03-40-60"
"0.01","0.03","40","70","226.0","0.01-0.03-40-70"
"0.01","0.03","40","80","186.9","0.01-0.03-40-80"
"0.01","0.03","40","90","214.6","0.01-0.03-40-90"
"0.01","0.03","50","10","773.5","0.01-0.03-50-10"
"0.01","0.03","50","100","182.8","0.01-0.03-50-100"
"0.01","0.03","50","20","635.9","0.01-0.03-50-20"
"0.01","0.03","50","30","562.5","0.01-0.03-50-30"
"0.01","0.03","50","40","301.0","0.01-0.03-50-40"
"0.01","0.03","50","50","239.4","0.01-0.03-50-50"
"0.01","0.03","50","60","480.7","0.01-0.03-50-60"
"0.01","0.03","50","70","475.1","0.01-0.03-50-70"
"0.01","0.03","50","80","254.9","0.01-0.03-50-80"
"0.01","0.03","50","90","198.3","0.01-0.03-50-90"
"0.01","0.03","60","10","558.5","0.01-0.03-60-10"
"0.01","0.03","60","100","226.4","0.01-0.03-60-100"
"0.01","0.03","60","20","783.1","0.01-0.03-60-20"
"0.01","0.03","60","30","632.8","0.01-0.03-60-30"
"0.01","0.03","60","40","416.2","0.01-0.03-60-40"
"0.01","0.03","60","50","267.0","0.01-0.03-60-50"
"0.01","0.03","60","60","372.8","0.01-0.03-60-60"
"0.01","0.03","60","70","241.4","0.01-0.03-60-70"
"0.01","0.03","60","80","358.5","0.01-0.03-60-80"
"0.01","0.03","60","90","190.1","0.01-0.03-60-90"
"0.01","0.03","70","10","695.0","0.01-0.03-70-10"
"0.01","0.03","70","100","171.0","0.01-0.03-70-100"
"0.01","0.03","70","20","572.5","0.01-0.03-70-20"
"0.01","0.03","70","30","528.6","0.01-0.03-70-30"
